,Maywood,Cudahy,Huntington Park,West Hollywood,San Francisco,Bell Gardens,Lawndale,Hawaiian Gardens,Lynwood,Bell,Hawthorne,Hermosa Beach,Daly City,South Gate,Bellflower,Inglewood,Stanton,Santa Ana,El Monte,La Puente,Paramount,Baldwin Park,East Palo Alto,San Pablo,Norwalk,Alhambra,Berkeley,Redondo Beach,Lomita,Santa Monica,Albany,Rosemead,Artesia,Gardena,San Fernando,Compton,San Gabriel,Garden Grove,Long Beach,Downey,Westminster,Manhattan Beach,Temple City,La Palma,Lakewood,La Habra,Foster City,Emeryville,Los Angeles,National City,San Mateo,Monterey Park,Placentia,Greenfield,Buena Park,Watsonville,Culver City,Pico Rivera,South Pasadena,San Bruno,Montebello,Oxnard,Cypress,Torrance,Huntington Beach,South El Monte,Costa Mesa,Oakland,South San Francisco,Alameda,El Cajon,Suisun City,Tustin,Covina,Campbell,Anaheim,Montclair,Davis,Millbrae,West Covina,Parlier,Lemon Grove,Burlingame,Pomona,Salinas,Aliso Viejo,Santa Paula,Sunnyvale,San Leandro,El Cerrito,Santa Clara,Imperial Beach,Glendale,La Mesa,Piedmont,Capitola,La Mirada,Mountain View,Fountain Valley,Fullerton,Beverly Hills,Pasadena,Burbank,Rohnert Park,Soledad,Citrus Heights,Whittier,Ceres,Grover Beach,Cerritos,Belmont,Riverbank,Modesto,Orange,Guadalupe,San Jose,Mission Viejo,Pacific Grove,Laguna Woods,Cupertino,Arcadia,San Carlos,Dana Point,Holtville,Carpinteria,Vista,Signal Hill,Chula Vista,Milpitas,Ventura,Newman,Carson,Port Hueneme,Azusa,Orange Cove,Hollister,McFarland,Sacramento,Reedley,Stockton,Upland,Santa Cruz,Pleasant Hill,Farmersville,San Anselmo,Fontana,Atwater,Calexico,Lodi,Santa Barbara,Laguna Hills,Live Oak,Selma,Lindsay,Los Altos,Fillmore,Yuba City,Rialto,Fresno,Sanger,Santa Maria,Lake Forest,Napa,Huron,Laguna Niguel,Gonzales,Exeter,Kerman,Rancho Cucamonga,Belvedere,Clovis,Eastvale,Santa Rosa,Turlock,Oceanside,Kingsburg,Petaluma,American Canyon,San Diego,Arvin,Concord,San Ramon,Sebastopol,Galt,Sausalito,Larkspur,Redwood City,Corona,Escondido,Madera,
Santa Clara,352.208,354.686,350.5781,340.515,45.457,354.449,353.173,365.012,358.311,352.99,351.928,355.318,40.803,356.696,362.92,348.278,369.2411,376.163,356.8441,364.394,360.1421,360.7551,14.617,55.906,359.415,349.5091,47.397,356.206,359.7601,344.925,50.469,354.36,363.77,357.006,324.332,359.686,351.8141,372.794,367.7751,356.8231,375.247,354.7271,353.013,365.366,364.926,371.681,26.434,47.149,344.375,470.271,26.782,351.18,374.247,248.987,365.24,47.101,344.176,359.4431,347.428,35.467,353.924,320.798,366.061,357.841,380.583,357.392,384.769,43.012,36.176,39.981,470.638,79.116,378.975,362.9261,7.22,370.207,375.445,104.828,32.754,361.719,173.671,469.986,30.868,371.899,64.348,394.039,336.7721,7.115,35.36,51.588,0,477.5421,339.897,467.605,46.138,35.094,363.986,9.188,379.102,370.379,343.015,345.651,335.278,94.597,89.778,131.784,358.928,87.202,204.673,364.4051,25.153,85.596,82.916,375.138,217.783,4.624,392.942,78.475,390.172,10.666,352.3911,23.029,402.367,564.7381,294.342,437.014,366.762,471.2991,9.791,310.616,91.534,360.002,322.707,359.6321,187.468,51.718,233.297,118.305,177.534,74.378,375.9881,32.134,51.041,202.672,66.297,389.3001,113.629,566.0421,90.251,283.234,389.527,32.937,169.958,213.107,12.335,327.5411,155.733,393.364,155.358,170.104,221.013,390.479,85.402,157.976,397.911,81.53,207.609,142.011,381.064,61.652,163.432,388.5441,100.796,96.683,427.56,174.591,85.07,73.505,464.343,260.422,54.734,36.738,101.471,97.786,54.231,64.962,20.165,389.4341,455.5771,132.699,
Imperial Beach,127.777,126.417,128.948,140.163,513.6791,124.772,130.59,115.57,127.835,127.139,131.998,132.668,520.242,128.792,119.635,136.197,111.666,101.317,140.884,127.69,122.098,137.032,487.514,514.378,117.143,134.064,505.904,131.813,127.515,146.247,508.941,144.052,117.928,127.995,153.649,126.469,146.773,106.736,117.949,121.665,106.428,133.372,144.81,114.547,119.096,116.665,506.767,503.9491,132.417,8.502,508.764,132.509,109.511,234.972,111.955,457.4301,140.885,124.162,133.961,517.392,126.388,192.79,113.284,130.219,104.511,129.215,98.627,502.416,518.101,499.384,22.719,518.162,98.298,133.55,472.522,107.998,128.42,527.6121,514.6791,135.675,336.475,16.527,512.792,125.219,435.1421,85.989,196.444,481.432,493.235,510.0601,476.509,0,139.847,18.796,503.02,472.483,115.306,483.282,102.158,111.439,143.017,150.684,141.984,553.069,408.84,531.4299,121.709,438.9391,306.412,117.424,498.051,450.103,443.476,103.383,296.768,471.737,84.913,454.055,88.027,477.66,144.822,495.926,77.73,131.793,215.544,52.081,117.957,6.947,477.052,199.388,418.319,123.22,194.952,137.22,340.843,436.043,266.599,515.03,337.027,468.6421,126.173,477.703,498.1,317.447,524.769,118.931,412.643,129.197,484.5151,226.691,87.224,474.459,334.201,301.868,485.446,187.213,555.267,115.491,349.014,342.724,289.803,92.257,532.4611,323.811,82.266,417.95,321.164,365.035,123.625,528.9291,353.715,113.621,559.2681,429.825,49.813,329.135,543.5421,520.5641,14.387,234.888,501.793,483.797,559.9431,492.05,528.704,523.4341,493.062,107.321,42.689,371.018,
Glendale,16.363,18.841,14.733,9.967,377.48,18.604,25.067,29.167,22.466,17.145,24.336,30.057,384.043,20.851,27.075,21.009,33.396,40.318,20.999,28.275,24.297,22.138,351.315,378.179,23.57,10.516,369.705,30.385,30.232,24.744,372.742,15.743,27.925,23.294,17.45,23.917,13.197,36.949,32.625,20.978,39.402,29.397,14.396,29.521,29.081,35.836,370.568,367.75,9.861,134.426,372.565,15.335,38.402,98.773,29.395,321.231,19.028,23.598,8.435,381.193,18.079,58.73,30.216,28.29,44.738,21.547,48.924,366.217,381.902,363.185,134.793,381.963,43.13,24.309,336.323,34.362,36.828,391.413,378.48,23.441,200.276,134.141,376.593,33.282,298.943,58.194,60.245,345.233,357.036,373.861,340.31,141.697,0,131.76,366.821,336.284,28.141,347.083,43.257,34.534,11.992,6.976,5.784,416.87,272.641,395.231,23.083,302.74,172.352,28.56,361.852,313.904,307.277,39.293,162.708,335.538,57.097,317.856,54.327,341.461,13.774,359.727,66.522,226.121,81.484,101.169,31.713,135.454,340.853,65.328,282.12,26.389,60.892,21.015,204.644,299.844,130.4,378.831,200.828,332.443,37.371,341.504,361.901,181.248,388.57,50.683,276.444,227.425,348.316,92.631,53.682,338.26,198.002,165.669,349.247,51.014,419.068,54.747,212.815,206.525,155.743,54.634,396.262,187.612,62.066,281.751,184.965,228.836,42.447,392.73,217.516,49.927,423.069,293.6261,91.715,192.936,407.343,384.365,128.498,98.689,365.594,347.598,423.744,355.851,392.505,387.235,356.863,50.817,116.96,234.819,
La Mesa,119.151,117.791,120.322,131.537,505.053,116.146,121.964,106.944,119.209,118.513,123.372,124.042,511.6161,120.166,111.009,127.571,103.04,92.691,130.694,127.777,113.472,126.842,478.888,505.752,108.517,137.565,497.278,123.187,118.889,137.621,500.315,133.862,109.302,119.369,145.023,117.843,136.583,98.11,109.323,113.039,97.802,124.746,134.62,105.921,110.47,108.039,498.141,495.3231,123.791,12.816,500.138,123.883,100.885,226.346,103.329,448.8041,132.259,115.536,125.335,508.766,117.762,184.164,104.658,121.593,95.885,132.188,90.001,493.79,509.475,490.758,5.545,509.536,89.672,123.36,463.896,99.372,118.23,518.986,506.053,125.485,327.849,2.814,504.166,115.029,426.516,77.363,187.818,472.806,484.609,501.4341,467.883,18.511,131.221,0,494.394,463.857,106.68,474.656,93.532,102.813,134.391,140.494,133.358,544.443,400.214,522.804,113.083,430.313,297.786,108.798,489.425,441.477,434.85,94.757,288.142,463.111,76.287,445.429,79.401,469.0341,134.632,487.3,69.104,114.62,206.918,41.891,109.331,12.248,468.426,190.762,409.693,114.594,186.326,127.03,332.217,427.417,257.973,506.404,328.401,460.0161,115.983,469.0771,489.474,308.821,516.143,108.741,404.017,112.023,475.8891,218.065,78.598,465.833,325.575,293.242,476.82,178.587,546.641,105.301,340.388,334.098,281.177,83.631,523.8351,315.185,73.64,409.324,312.538,356.409,113.435,520.303,345.0891,103.431,550.642,421.1991,41.187,320.509,534.9161,511.938,9.986,226.262,493.167,475.171,551.317,483.424,520.078,514.808,484.436,97.131,32.499,362.392,
Piedmont,378.197,380.675,376.567,366.504,13.138,380.438,379.162,391.001,384.3,378.979,377.917,381.307,19.701,382.685,388.909,374.267,395.23,402.152,382.833,390.383,386.131,386.744,35.527,13.984,385.404,375.498,4.505,382.195,385.7491,370.914,8.547,380.349,389.759,382.995,350.321,385.675,377.803,398.783,393.764,382.812,401.236,380.716,379.002,391.355,390.915,397.67,32.038,3.556,370.364,496.26,31.621,377.169,400.236,274.976,391.229,89.439,370.165,385.432,373.417,22.923,379.913,377.563,392.05,383.83,406.572,383.381,410.758,3.015,20.505,7.982,496.627,42.671,404.964,388.9151,49.558,396.196,401.434,68.383,25.442,387.708,194.035,495.975,26.116,397.888,102.751,420.028,362.761,46.428,11.549,9.666,46.573,503.5311,365.886,493.594,0,77.432,389.975,43.044,405.091,396.368,369.004,371.64,361.267,52.675,128.18,95.339,384.917,84.944,243.075,390.394,34.67,83.338,80.658,401.127,256.186,45.215,418.931,116.878,416.161,53.005,378.3801,34.763,428.356,590.7271,332.744,463.003,392.751,497.2881,39.401,378.5121,89.276,385.991,383.418,385.6211,207.832,90.12,259.285,81.86,197.898,72.12,401.9771,74.472,16.722,223.037,24.375,415.2891,111.371,592.0311,73.592,321.636,415.516,75.275,190.323,233.472,43.103,353.5301,119.288,419.353,175.723,190.469,259.415,416.468,42.103,183.965,423.9,119.932,227.974,168,407.053,28.535,183.797,414.5331,58.874,94.425,453.549,194.956,43.148,32.21,490.332,286.411,20.416,25.494,59.549,81.586,28.31,23.04,36.47,415.423,481.5661,153.064,
Capitola,350.493,352.971,348.863,338.8,76.424,352.734,351.458,363.297,356.596,351.275,350.213,353.603,71.265,354.981,361.205,346.563,367.5261,374.448,355.1291,362.679,358.4271,359.04,45.583,86.63,357.7,347.794,78.121,354.491,358.0451,343.21,81.193,352.645,362.055,355.291,322.617,357.971,350.099,371.079,366.0601,355.1081,373.532,353.0121,351.298,363.651,363.211,369.966,57.401,77.873,342.66,468.556,57.749,349.465,372.532,247.272,363.525,12.961,342.461,357.7281,345.713,66.528,352.209,288.522,364.346,356.126,378.868,355.677,383.054,73.736,67.143,70.705,468.923,109.84,377.26,361.2111,30.594,368.492,373.73,135.552,63.72,360.004,171.956,468.271,61.834,370.184,31.46,392.324,294.261,39.733,66.084,82.312,34.463,475.8271,338.182,465.89,76.862,0,362.271,39.396,377.387,368.664,341.3,343.936,333.563,125.321,57.502,162.508,357.213,117.926,172.397,362.6901,56.12,116.32,113.64,373.423,185.507,35.008,391.227,39.699,388.457,33.374,350.6761,53.995,400.652,563.0231,262.066,435.299,365.047,469.5841,40.515,278.34,92.466,358.287,290.431,357.9171,185.753,40.111,231.582,149.029,175.819,105.102,374.2731,6.283,81.765,200.957,97.021,387.5851,114.781,564.3271,120.975,250.958,387.812,2.296,168.243,211.392,41.16,325.826,186.457,391.649,153.643,168.389,188.737,388.764,116.126,156.261,396.196,49.254,205.894,140.296,379.349,91.517,161.717,386.8291,131.52,110.998,425.845,172.876,115.794,104.229,462.6281,258.707,85.458,67.462,132.195,128.51,84.096,95.686,51.131,387.719,453.8621,130.984,
La Mirada,15.406,13.352,16.577,27.791,401.307,12.401,22.896,11.828,13.765,14.768,22.165,25.579,407.8701,14.722,9.504,23.002,7.964,14.889,19.769,9.577,11.967,20.803,375.142,402.006,4.771,21.692,393.532,26.039,25.676,33.875,396.569,17.664,7.733,20.544,41.277,14.818,22.009,11.52,21.476,7.994,10.966,27.226,23.695,5.975,11.51,5.379,394.395,391.5771,20.045,108.997,396.392,20.137,12.972,122.6,3.963,345.058,28.159,8.268,21.589,405.02,14.017,80.418,8.224,23.995,18.54,14.146,23.495,390.044,405.729,387.012,109.364,405.79,17.701,16.608,360.15,8.933,27.51,415.24,402.307,13.088,224.103,108.712,400.42,22.455,322.7701,32.765,84.072,369.06,380.863,397.688,364.137,116.268,27.475,106.331,390.648,360.111,0,370.91,16.439,6.738,30.645,24.596,29.612,440.697,296.468,419.058,5.062,326.567,194.04,7.227,385.679,337.731,331.104,13.864,184.396,359.365,31.668,341.683,28.898,365.288,28.33,383.554,41.093,211.725,103.172,75.74,17.169,110.025,364.68,87.016,305.947,20.208,82.58,26.444,228.471,323.671,154.227,402.658,224.655,356.27,30.681,365.331,385.728,205.075,412.397,44.7,300.271,213.029,372.143,114.319,28.253,362.087,221.829,189.496,373.074,74.841,442.895,47.548,236.642,230.352,177.431,29.205,420.0891,211.439,36.637,305.578,208.792,252.663,36.323,416.557,241.343,36.922,446.896,317.453,66.286,216.763,431.17,408.192,103.069,122.516,389.421,371.425,447.571,379.678,416.332,411.062,380.69,30.345,86.063,258.646,
Mountain View,359.078,361.556,357.4481,347.385,38.416,361.661,360.043,371.882,365.181,359.86,358.798,362.188,33.763,363.566,369.79,355.148,376.1111,383.033,363.7141,371.264,367.0121,367.6251,7.576,53.113,366.285,356.3791,44.604,363.076,366.6301,351.795,47.676,361.23,370.64,363.876,331.202,366.556,358.6841,379.664,374.6451,363.6931,382.117,361.597,359.883,372.236,371.796,378.551,19.394,44.356,351.245,477.141,19.741,358.05,381.117,255.857,372.11,50.931,351.046,366.313,354.298,28.427,360.794,327.668,372.931,364.711,387.453,364.262,391.639,40.219,28.668,37.188,477.508,80.777,385.845,369.7961,14.469,377.077,382.315,106.489,25.713,368.589,180.541,476.856,23.827,378.769,71.218,401.251,343.6421,3.937,32.567,48.795,10.246,484.412,346.767,474.475,43.345,38.924,370.856,0,385.972,377.249,349.885,352.521,342.148,85.864,96.647,133.445,365.798,88.863,211.542,371.2751,18.112,87.257,84.577,382.008,224.653,13.291,399.812,77.669,397.042,7.235,359.2611,15.988,409.237,571.6081,301.212,443.884,373.632,478.1691,11.577,317.486,93.195,366.872,329.577,366.5021,194.338,58.588,240.167,119.966,184.404,76.039,382.8581,35.964,52.702,209.542,57.051,396.1701,115.29,572.9121,91.912,290.104,396.397,36.767,176.828,219.977,2.155,334.4111,157.394,400.234,162.228,176.974,228.224,397.349,87.063,164.846,404.781,88.4,214.479,148.881,387.934,54.611,170.302,395.4141,92.529,98.344,434.43,181.461,76.803,71.339,471.213,267.292,56.395,38.399,93.204,99.447,47.19,53.806,13.124,396.304,462.4471,139.569,
Fountain Valley,30.077,29.465,30.175,42.462,415.978,27.071,29.043,14.023,27.131,30.023,30.451,31.121,422.541,28.088,19.137,34.65,8.002,7.446,34.409,35.436,21.6,35.443,389.813,416.677,21.152,36.363,408.203,30.266,25.968,44.038,411.24,35.001,16.746,26.448,55.948,24.345,36.68,5.456,16.402,22.6,4.882,31.825,38.335,12.995,17.549,18.553,409.066,406.248,34.716,96.366,411.063,34.808,16.248,137.271,12.007,359.729,39.338,26.431,36.26,419.691,29.954,94.711,11.737,28.672,6.394,31.484,5.434,404.715,420.4,401.683,96.733,420.461,10.853,36.466,374.821,14.755,37.485,429.911,416.978,35.865,238.774,96.081,415.091,32.43,337.441,18.409,98.743,383.731,395.534,412.359,378.808,103.637,42.146,93.7,405.319,374.782,15.605,385.581,0,18.176,45.5,39.267,44.283,455.368,311.139,433.729,25.995,341.238,208.334,17.96,400.35,352.402,345.775,11.008,198.69,374.036,20.372,356.354,17.602,379.959,42.97,398.225,25.849,206.149,117.465,63.109,16.41,97.394,379.351,101.309,320.618,21.673,96.873,41.084,243.142,338.342,168.898,417.329,239.326,370.941,40.656,380.002,400.399,219.746,427.068,56.885,314.942,203.359,386.814,128.612,16.957,376.758,236.5,204.167,387.745,89.512,457.566,59.165,251.313,245.023,191.725,18.168,434.76,226.11,21.716,320.2491,223.463,267.334,52.95,431.228,256.014,42.754,461.567,332.1241,53.655,231.434,445.841,422.863,90.631,137.187,404.092,386.096,462.242,394.349,431.0031,425.733,395.361,34.12,73.432,273.317,
Fullerton,21.704,20.344,22.874,34.089,407.605,18.698,28.933,15.662,21.726,21.065,30.126,29.601,414.168,22.683,13.526,30.963,9.378,11.162,21.95,13.121,15.989,26.945,381.44,408.304,11.069,27.99,399.83,30.061,29.698,40.173,402.867,22.432,11.819,24.566,47.575,20.36,28.307,12.953,25.498,15.591,12.38,30.126,24.506,8.438,15.532,5.071,400.693,397.875,26.343,105.266,402.69,26.435,3.875,128.898,5.846,351.3561,34.457,18.088,27.887,411.318,20.314,86.716,10.453,28.017,19.955,18.914,19.764,396.342,412.027,393.31,105.633,412.088,13.97,23.463,366.448,3.025,24.482,421.538,408.605,25.588,230.401,104.981,406.718,19.427,329.068,29.034,90.37,375.358,387.161,403.986,370.435,112.537,33.773,102.6,396.946,366.409,6.716,377.208,17.887,0,36.943,30.894,35.91,446.995,302.766,425.356,11.457,332.865,200.338,11.315,391.977,344.029,337.402,9.482,190.694,365.663,27.937,347.981,25.167,371.5861,34.937,389.8521,37.362,205.029,109.47,72.009,21.191,106.294,370.978,93.314,312.245,24.23,88.878,27.335,234.769,329.969,160.525,408.956,230.953,362.568,27.653,371.6291,392.026,211.373,418.695,41.672,306.569,206.333,378.441,120.617,24.522,368.385,228.127,195.794,379.372,81.139,449.193,44.52,242.94,236.65,183.729,25.474,426.387,217.737,32.906,311.876,215.09,258.961,33.295,422.855,247.641,32.282,453.194,323.7511,62.555,223.061,437.468,414.49,99.338,128.814,395.719,377.723,453.869,385.976,422.63,417.36,386.988,23.649,89.792,264.944,
Beverly Hills,19.196,21.674,16.75,2.5,380.151,21.437,17.244,32,24.446,19.978,15.999,19.389,386.7141,18.802,30.229,12.349,36.229,43.151,23.62,31.4,27.647,28.16,353.986,380.85,26.402,19.51,372.376,20.277,23.831,8.996,375.413,21.024,30.758,21.077,21.275,23.757,20.307,44.959,31.846,23.811,41.897,18.798,23.672,32.353,32.685,38.687,373.239,370.4211,10.754,137.259,375.236,17.956,41.235,101.444,32.228,323.902,5.215,26.449,17.382,383.864,20.93,56.256,33.049,21.912,47.233,24.399,49.779,368.888,384.573,365.856,137.626,384.634,45.963,32.371,338.994,37.195,43.116,394.084,381.151,28.495,202.947,136.974,379.264,40.671,301.614,62.754,62.916,347.904,359.707,376.532,342.981,144.53,14.521,134.593,369.492,338.955,30.974,349.754,45.752,37.367,0,20.427,11.32,419.541,275.312,397.902,25.916,305.411,169.879,31.393,364.523,316.575,309.948,42.126,160.235,338.209,59.93,320.527,57.16,344.132,27.225,362.398,69.355,231.088,79.01,104.002,30.833,138.287,343.524,62.854,284.791,24.073,58.418,33.836,207.315,302.515,133.071,381.502,203.499,335.114,46.287,344.175,364.572,183.919,391.241,60.616,279.115,232.392,350.9871,90.157,56.515,340.931,200.673,168.34,351.918,53.685,421.739,63.154,215.486,209.196,153.27,57.467,398.933,190.283,64.899,284.422,187.636,231.507,51.929,395.401,220.187,58.655,425.74,296.2971,94.548,195.607,410.014,387.036,131.331,101.36,368.265,350.269,426.415,358.522,395.176,389.906,359.534,59.52,114.325,237.49,
Pasadena,13.167,15.644,15.261,17.832,383.009,15.376,25.971,25.938,19.269,13.949,25.24,30.961,389.572,17.654,23.846,21.913,30.167,37.089,12.039,21.521,21.1,15.384,356.845,383.708,20.341,3.977,375.234,31.289,31.136,25.649,378.271,8.989,24.696,24.198,22.463,24.821,5.429,33.72,29.429,17.75,36.173,30.301,7.642,26.292,25.852,32.791,376.097,373.279,10.993,143.053,378.094,6.493,39.132,104.303,26.166,326.761,19.933,15.011,2.832,386.722,9.861,64.605,26.987,29.194,41.509,13.078,45.695,371.746,387.431,368.714,142.616,387.493,39.901,17.555,341.853,31.133,30.074,396.942,384.009,16.687,205.806,142.554,382.122,26.528,304.4731,54.965,65.775,350.763,362.565,379.39,345.84,150.325,6.698,140.134,372.35,341.814,24.912,352.613,40.028,31.305,20.593,0,11.659,422.399,278.171,400.761,26.3,308.2701,178.227,25.331,367.382,319.434,312.807,45.103,168.583,341.068,53.868,323.386,51.098,346.991,7.02,365.257,63.293,219.367,87.359,105.771,28.516,145.69,346.383,71.203,287.65,27.293,66.767,14.261,210.174,305.374,135.93,384.361,206.358,337.973,30.617,347.034,367.43,186.778,394.099,43.929,281.974,220.671,353.846,98.506,50.453,343.79,203.532,171.199,354.777,56.544,424.598,47.993,218.345,212.055,161.618,61.017,401.791,193.142,58.837,287.281,190.495,234.366,35.693,398.259,223.046,43.173,428.598,299.156,88.486,198.466,412.872,389.894,139.947,104.219,371.123,353.127,429.273,361.381,398.034,392.764,362.393,44.063,110.206,240.349,
Burbank,18.256,20.734,16.627,9.27,372.224,20.498,26.961,31.061,24.359,19.038,26.23,31.951,378.787,22.744,28.969,22.903,35.29,42.212,22.893,30.443,26.19,27.013,346.059,372.923,25.463,18.783,364.449,32.279,32.126,24.299,367.486,20.297,29.819,25.188,12.194,25.811,19.58,38.843,34.518,22.872,41.296,31.291,19.271,31.414,30.975,37.73,365.312,362.494,11.983,136.32,367.309,17.229,40.296,93.517,31.289,315.975,20.922,25.492,14.933,375.937,19.973,55.024,32.11,30.184,46.632,23.441,50.818,360.961,376.646,357.929,136.687,376.707,45.024,29.184,331.067,36.256,41.703,386.157,373.224,27.768,195.02,136.035,371.337,38.157,293.687,60.088,54.989,339.977,351.78,368.605,335.054,143.591,5.945,133.654,361.565,331.028,30.035,341.827,45.151,36.428,11.332,11.851,0,411.614,267.385,389.975,24.977,297.484,168.646,30.454,356.596,308.648,302.021,41.187,159.002,330.282,58.991,312.6,56.221,336.205,18.649,354.471,68.416,230.996,77.778,103.063,33.606,137.348,335.597,61.622,276.864,28.283,57.186,25.89,199.388,294.588,125.144,373.575,195.572,327.187,42.246,336.248,356.645,175.992,383.314,55.558,271.188,232.3,343.06,88.925,55.576,333.004,192.746,160.413,343.991,45.758,413.812,59.622,207.559,201.269,152.037,56.528,391.006,182.356,63.96,276.495,179.709,223.58,47.322,387.474,212.26,54.802,417.813,288.3701,93.609,187.68,402.087,379.109,130.392,93.433,360.338,342.342,418.488,350.595,387.249,381.979,351.607,55.692,121.835,229.563,
Rohnert Park,429.34,431.818,427.71,417.647,48.219,431.581,430.305,442.144,435.443,430.122,429.06,432.45,52.933,433.828,440.052,425.41,446.373,453.295,433.976,441.526,437.274,437.8871,80.087,43.964,436.547,426.6411,48.801,433.338,436.8921,422.057,45.857,431.492,440.902,434.138,401.464,436.818,428.946,449.926,444.907,433.955,452.379,431.859,430.145,442.498,442.058,448.813,70.508,50.565,421.507,547.403,69.685,428.312,451.379,326.119,442.372,137.574,421.308,436.575,424.56,58.671,431.056,429.594,443.193,434.973,457.715,434.524,461.901,52.369,58.569,56.371,547.77,49.01,456.107,440.0581,97.693,447.339,452.577,74.722,61.728,438.851,245.178,547.118,64.18,449.031,150.887,471.171,413.9041,88.993,62.692,45.511,94.709,554.674,417.029,544.737,52.905,125.567,441.118,86.025,456.234,447.511,420.147,422.783,412.41,0,176.316,101.678,436.06,136.087,291.211,441.537,70.708,134.481,131.801,452.27,304.322,93.35,470.074,165.014,467.304,91.385,429.5231,72.827,479.499,641.8701,380.88,514.1461,443.894,548.431,87.536,429.6551,140.419,437.134,434.561,436.7641,258.975,138.256,310.428,88.199,249.041,99.523,453.1201,122.607,63.275,274.18,33.167,466.4321,162.514,643.1741,93.813,369.772,466.659,123.41,241.466,284.615,87.091,404.6731,125.627,470.496,226.866,241.612,307.551,467.611,34.835,235.108,475.043,168.068,279.117,219.143,458.196,40.52,234.94,465.6761,6.745,145.568,504.692,246.099,11.062,37.757,541.475,337.554,63.723,79.281,12.733,112.666,40.295,35.025,74.534,466.566,532.709,204.207,
Soledad,284.837,287.315,283.207,273.144,131.949,287.078,285.802,297.641,290.94,285.619,284.557,287.947,127.296,289.325,295.549,280.907,301.8701,308.792,289.4731,297.023,292.7711,293.384,101.109,137.251,292.044,282.138,128.743,288.835,292.3891,277.554,131.814,286.989,296.399,289.635,256.961,292.315,284.443,305.423,300.4041,289.4521,307.876,287.356,285.642,297.995,297.555,304.31,112.926,128.495,277.004,402.9,113.274,283.809,306.876,181.616,297.869,45.108,276.805,292.0721,280.057,121.96,286.553,231.309,298.69,290.47,313.212,290.021,317.398,124.358,122.668,121.326,403.267,159.555,311.604,295.5551,86.116,302.836,308.074,185.267,119.246,294.348,146.952,402.615,117.36,304.528,26.583,326.668,237.048,95.027,116.706,132.933,90.104,410.1711,272.526,400.234,127.484,57.99,296.615,96.877,311.731,303.008,275.644,278.28,267.907,175.942,0,218.894,291.557,133.648,115.184,297.0341,111.645,145.916,135.109,307.767,128.295,85.331,325.571,45.496,322.801,91.254,285.0201,109.521,334.996,497.3671,204.853,369.643,299.391,403.9281,90.647,221.127,105.723,292.631,233.218,292.261,162.84,53.367,165.866,202.494,150.815,156.105,308.6171,63.21,131.48,148.721,147.642,321.929,128.038,498.6711,171.978,193.745,322.156,59.966,141.128,159.19,99.04,246.241,242.731,325.993,141.171,152.107,131.524,323.108,165.841,97.191,330.54,9.391,153.657,125.724,313.693,151.802,150.606,321.1731,182.141,124.255,360.189,141.525,166.415,153.944,396.972,193.051,135.174,117.177,182.816,179.513,140.723,146.307,106.657,322.063,388.2061,144.241,
Citrus Heights,406.147,408.625,404.517,394.454,101.2,408.388,407.112,418.951,412.25,406.929,405.867,409.257,107.763,410.635,416.859,402.217,423.1801,430.102,410.7831,418.333,414.0811,414.694,126.226,83.569,413.354,403.448,91.366,410.145,413.6991,398.864,88.298,408.299,417.709,410.945,378.271,413.625,405.753,426.733,421.7141,410.7621,429.186,408.666,406.952,419.305,418.865,425.62,120.506,93.129,398.314,524.2101,119.683,405.119,428.186,302.926,419.179,174.801,398.115,413.382,401.367,110.985,407.863,405.513,420,411.78,434.522,411.331,438.708,94.933,108.567,98.935,524.5771,58.732,432.914,416.8651,134.92,424.146,429.384,28.681,113.504,415.658,199.651,523.9251,114.178,425.838,192.093,447.978,390.711,131.79,105.256,87.552,131.935,531.4811,393.836,521.5441,95.469,162.794,417.925,133.681,433.041,424.318,396.954,399.59,389.217,101.476,217.5231,0,412.867,90.559,319.366,418.3441,122.732,83.915,86.274,429.077,332.4771,133.14,446.881,206.22,444.111,138.366,406.33,122.825,456.306,618.6771,422.618,490.953,420.701,525.2381,123.479,406.462,117.226,413.941,411.368,413.571,213.448,165.523,263.131,17.224,203.514,62.897,429.9271,159.834,81.203,228.652,98.608,443.239,116.986,619.9811,47.361,401.095,443.466,160.637,195.939,239.088,135.182,381.48,51.028,447.303,181.338,196.084,335.707,444.418,72.954,211.915,451.85,209.275,233.589,175.054,435.003,105.961,189.412,442.4831,107.675,100.04,481.499,200.571,95.249,67.949,518.282,314.3611,81.651,97.209,108.35,38.053,105.737,100.466,124.532,443.373,509.5161,158.679,
